"","CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","DISN","CHAPIS","CERR_CODE","TOGT","ROGT","COT","NOXT","SOXT","PMT","PM10T","year","address"
"223115",19,"SC",162270,"SC","101 VERMONT AUTO GROUP","3718 BEVERLY BLVD","LOS ANGELES","90004",5511,"LA","SOUTH COAST AQMD","","",0.214350611319754,0.19636,0.00297,0.01105,5e-05,0.00063,0.0005985,2012,"3718 BEVERLY BLVD,LOS ANGELES, CA"
"223131",19,"SC",2344,"SC","20TH CENTURY FOX FILM CORP","10201 W PICO BLVD BLDG 99","LOS ANGELES","90035",7389,"LA","SOUTH COAST AQMD","","",0.46575179834252,0.32301,1.59159,2.89733,0.00986,0.2233,0.22060928,2012,"10201 W PICO BLVD BLDG 99,LOS ANGELES, CA"
"223152",19,"SC",35188,"SC","3M COMPANY","1601 S SHAMROCK AVE","MONROVIA","91016",2295,"LA","SOUTH COAST AQMD","","",5.7785673945125,5.37276189,0.29207,1.08485,0.005,0.06257,0.06257,2012,"1601 S SHAMROCK AVE,MONROVIA, CA"
"223153",33,"SC",800088,"SC","3M COMPANY","18750 MINNESOTA RD","CORONA","92881",3295,"RIV","SOUTH COAST AQMD","","",8.34013851312957,5.19998405,4.27962,6.20147,0.07386,23.80681,12.361905,2012,"18750 MINNESOTA RD,CORONA, CA"
"223154",19,"SC",2605,"SC","3M DRUG DELIVERY SYSTEMS","19901 NORDHOFF ST","NORTHRIDGE","91324",2834,"LA","SOUTH COAST AQMD","","",10.9202678482899,5.58119087,1.55721,2.01168,0.01147604,0.1526,0.15236944,2012,"19901 NORDHOFF ST,NORTHRIDGE, CA"
"223155",30,"SC",13563,"SC","3M ESPE DENTAL PRODUCTS DIVISION","2111 MCGAW AVE","IRVINE","92614",3843,"ORA","SOUTH COAST AQMD","","",11.4853192557096,6.73613,1.81257,0.45736,0.00124,0.50169,0.25884062,2012,"2111 MCGAW AVE,IRVINE, CA"
"223157",19,"SC",149912,"SC","4-OVER INC","4621 SPERRY ST","LOS ANGELES","90039",9999,"LA","SOUTH COAST AQMD","","",2.23819129466545,2.22689,0,0,0,0,0,2012,"4621 SPERRY ST,LOS ANGELES, CA"
"223194",19,"SC",150574,"SC","A & A READY MIXED CONCRETE INC","900 E PATTERSON","SIGNAL HILL","90755",3273,"LA","SOUTH COAST AQMD","","",0.00212025316455696,0.00201,0,0,0,3.62837,3.309406,2012,"900 E PATTERSON,SIGNAL HILL, CA"
"223195",19,"SC",132205,"SC","A & J WELDING","1511-B W SECOND ST","POMONA","91766",3441,"LA","SOUTH COAST AQMD","","",0.0842696629213483,0.08325,0,0,0,0.16954,0.1627584,2012,"1511-B W SECOND ST,POMONA, CA"
"223196",19,"SC",90017,"SC","A & M BANDAG INC","9642 RUSH ST","SOUTH EL MONTE","91733",7534,"LA","SOUTH COAST AQMD","","",0.28281971062049,0.26729,0,0,0,1.42328,1.2263488,2012,"9642 RUSH ST,SOUTH EL MONTE, CA"
"223200",19,"SC",68838,"SC","A 2 Z PLATING CO","1467 S SUNOL DR","LOS ANGELES","90023",3471,"LA","SOUTH COAST AQMD","","",0,0,0,0,0,0.00725,0.0013775,2012,"1467 S SUNOL DR,LOS ANGELES, CA"
"223222",19,"SC",122666,"SC","A'S MATCH DYEING & FINISHING","2522 E 37TH ST","VERNON","90058",2258,"LA","SOUTH COAST AQMD","","",1.01101373756513,0.42685,5.2215,7.8105,0.04358,0.55061,0.543842,2012,"2522 E 37TH ST,VERNON, CA"
"223226",36,"SC",56326,"SC","A-ONE DELIVERY SERVICE","VARIOUS LOCATIONS IN SCAQMD","CHINO","91708",1422,"SBD","SOUTH COAST AQMD","","",0.0428827536751524,0.03588,0.09767,0.44912,0.00018,5.05755,2.54403556,2012,"VARIOUS LOCATIONS IN SCAQMD,CHINO, CA"
"223238",19,"SC",75024,"SC","AAA FLAG & BANNER MFG CO INC","8951 NATIONAL BLVD STE 8966","LOS ANGELES","90034",2396,"LA","SOUTH COAST AQMD","","",5.23725521127768,4.02993,0.01749,0.065,0.00029,0.00374,0.0035995,2012,"8951 NATIONAL BLVD STE 8966,LOS ANGELES, CA"
"223240",19,"SC",25087,"SC","AAA PLATING & INSPECTION, INC","424 DIXON ST","COMPTON","90222",3471,"LA","SOUTH COAST AQMD","","",7.84436234605951,7.72152,0.28241,0.75376,0.00365,0.046010539,0.0442389389,2012,"424 DIXON ST,COMPTON, CA"
"223261",33,"SC",143870,"SC","ABACHERLI DAIRY, RONALD ABACHERLI","29875 NEWPORT RD","MENIFEE","92584",241,"RIV","SOUTH COAST AQMD","","",15.042800301212,10.50893,0.00051,0.00234,1.05e-06,4.45016,2.17754116,2012,"29875 NEWPORT RD,MENIFEE, CA"
"223265",33,"SC",45489,"SC","ABBOTT CARDIOVASCULAR SYSTEMS, INC.","26531 YNEZ RD","TEMECULA","92591",3841,"RIV","SOUTH COAST AQMD","","",22.2486300517601,21.5615,2.9187,2.77212,0.03709,0.32596,0.32390992,2012,"26531 YNEZ RD,TEMECULA, CA"
